"School Name", "Link"
University of La Verne, https://www.linkedin.com/school/ulaverne/people/
University of Massachusetts Amherst, https://www.linkedin.com/school/umassamherst/people/
University of Michigan -- Ann Arbor, https://www.linkedin.com/school/university-of-michigan/people/
University of Minnesota -- Twin Cities, https://www.linkedin.com/school/university-of-minnesota/people/
University of Missouri -- Columbia, https://www.linkedin.com/school/university-of-missouri/people/
University of Nebraska -- Lincoln, https://www.linkedin.com/school/university-of-nebraska-lincoln/people/
University of Oregon, https://www.linkedin.com/school/university-of-oregon/people/
University of Oxford, https://www.linkedin.com/school/oxforduni/people/
University of Pennsylvania, https://www.linkedin.com/school/university-of-pennsylvania/people/
University of Pittsburgh, https://www.linkedin.com/school/university-of-pittsburgh/people/
University of Redlands, https://www.linkedin.com/school/universityofredlands/people/
University of Richmond, https://www.linkedin.com/school/university-of-richmond/people/
University of Rochester, https://www.linkedin.com/school/university-of-rochester/people/
University of San Francisco, https://www.linkedin.com/school/university-of-san-francisco/people/
University of South Florida, https://www.linkedin.com/school/usouthflorida/people/
University of St. Francis, https://www.linkedin.com/school/university-of-st.-francis/people/
University of Stirling, https://www.linkedin.com/school/university-of-stirling/people/
University of Toronto, https://www.linkedin.com/school/university-of-toronto/people/
University of Vermont, https://www.linkedin.com/school/university-of-vermont/people/
University of Waikato, https://www.linkedin.com/school/universityofwaikato/people/
University of Warwick, https://www.linkedin.com/school/university-of-warwick/people/
University of Washington, https://www.linkedin.com/school/university-of-washington/people/
University of Waterloo, https://www.linkedin.com/school/uwaterloo/people/
University of Wisconsin -- Madison, https://www.linkedin.com/school/uwmadison/people/
University of Wisconsin -- Whitewater, https://www.linkedin.com/school/university-of-wisconsin-whitewater/people/
Valencia College, https://www.linkedin.com/school/valencia-college/people/
Valparaiso University, https://www.linkedin.com/school/valparaiso-university/people/
Vanderbilt University, https://www.linkedin.com/school/vanderbilt-university/people/
Washington State University, https://www.linkedin.com/school/washington-state-university/people/
Wentworth Institute of Technology, https://www.linkedin.com/school/wentworth-institute-of-technology/people/
Western Sydney University, https://www.linkedin.com/school/western-sydney-university/people/
Westminster College (UT), https://www.linkedin.com/school/westminster-college/people/
Whitman College, https://www.linkedin.com/school/whitman-college/people/
Winona State University, https://www.linkedin.com/school/winona-state-university/people/
Yale University, https://www.linkedin.com/school/yale-university/people/
York University, https://www.linkedin.com/school/york-university/people/
Washington College, https://www.linkedin.com/school/washington-college/people/
University of Melbourne, https://www.linkedin.com/school/university-of-melbourne/people/
University of Sydney, https://www.linkedin.com/school/university-of-sydney/people/
University of British Columbia, https://www.linkedin.com/school/universityofbc/people/
Wellesley College, https://www.linkedin.com/school/wellesley-college/people/
Bowdoin College, https://www.linkedin.com/school/bowdoin-college/people/
Amherst College, https://www.linkedin.com/school/amherst-college/people/
Williams College, https://www.linkedin.com/school/williams-college/people/
Carleton College, https://www.linkedin.com/school/carleton-college/people/
Claremont McKenna College, https://www.linkedin.com/school/claremont-mckenna-college/people/
Middlebury College, https://www.linkedin.com/school/middlebury-college/people/
Washington and Lee University, https://www.linkedin.com/school/washington-and-lee-university/people/
Colby College, https://www.linkedin.com/school/colby-college/people/
Hamilton College, https://www.linkedin.com/school/hamilton-college/people/
Vassar College, https://www.linkedin.com/school/vassar-college/people/
Colgate University, https://www.linkedin.com/school/colgate-university/people/
Bangor University, https://www.linkedin.com/school/bangor-university/people/
Berkeley College -- New York, https://www.linkedin.com/school/berkeley-college/people/
Bentley University, https://www.linkedin.com/school/bentley-university/people/
Clemson University, https://www.linkedin.com/school/clemson-university/people/
College of Charleston, https://www.linkedin.com/school/college-of-charleston/people/
DePauw University, https://www.linkedin.com/school/depauw-university/people/
Foothill+De Anza Colleges, https://www.linkedin.com/school/de-anza-college/people/
Full Sail University, https://www.linkedin.com/school/full-sail-university/people/
Gannon University, https://www.linkedin.com/school/gannon-university/people/
"Goldsmiths, University of London", https://www.linkedin.com/school/goldsmiths-university-of-london/people/
Hobart and William Smith Colleges, https://www.linkedin.com/school/hobart-and-william-smith-colleges/people/
Indiana Institute of Technology, https://www.linkedin.com/school/indiana-tech/people/
Johnson & Wales University, https://www.linkedin.com/school/johnson-&-wales-university/people/
Kansas State University, https://www.linkedin.com/school/kansas-state-university/people/
Lipscomb University, https://www.linkedin.com/school/lipscomb-university/people/
Massachusetts College of Pharmacy and Health Sciences, https://www.linkedin.com/school/massachusetts-college-of-pharmacy-and-health-sciences/people/
Ringling College of Art and Design, https://www.linkedin.com/school/ringling-college-of-art-and-design/people/
State University of New York at New Paltz, https://www.linkedin.com/school/sunynewpaltz/people/
The University of Montana, https://www.linkedin.com/school/the-university-of-montana/people/
University of Central Oklahoma, https://www.linkedin.com/school/university-of-central-oklahoma/people/
University of East Anglia, https://www.linkedin.com/school/university-of-east-anglia/people/
University of Hawaii at Hilo, https://www.linkedin.com/school/university-of-hawaii-at-hilo/people/
Wells College, https://www.linkedin.com/school/wells-college/people/
The University of Texas at Austin, https://www.linkedin.com/school/theuniversityoftexasataustin-/people/
Washington University in St. Louis, https://www.linkedin.com/school/washington-university-in-st-louis/people/
"University of California, Santa Barbara", https://www.linkedin.com/school/ucsantabarbara/people/
University of Queensland Australia, https://www.linkedin.com/school/university-of-queensland/people/
Boston College, https://www.linkedin.com/school/boston-college/people/
"University of Maryland, College Park", https://www.linkedin.com/school/university-of-maryland/people/
Monash University, https://www.linkedin.com/school/monash-university/people/
Georgia Institute of Technology, https://www.linkedin.com/school/georgia-institute-of-technology/people/
"University of California, Davis", https://www.linkedin.com/school/uc-davis/people/
University of New South Wales, https://www.linkedin.com/school/unsw/people/
University of Southern California, https://www.linkedin.com/school/university-of-southern-california/people/
Emory University, https://www.linkedin.com/school/emory-university/people/
Pennsylvania State University -- University Park, https://www.linkedin.com/school/penn-state-university/people/
"University of California, Santa Cruz", https://www.linkedin.com/school/ucsc/people/
University of Adelaide, https://www.linkedin.com/school/uniofadelaide/people/
University of Bristol, https://www.linkedin.com/school/university-of-bristol/people/
Carnegie Mellon University, https://www.linkedin.com/school/carnegie-mellon-university/people/
The University of Arizona, https://www.linkedin.com/school/uarizona/people/
University of Richmond, https://www.linkedin.com/school/university-of-richmond/people/
Davidson College, https://www.linkedin.com/school/davidson-college/people/
Wesleyan University, https://www.linkedin.com/school/wesleyan-university/people/
Bard College, https://www.linkedin.com/school/bard-college/people/
Bates College, https://www.linkedin.com/school/bates-college/people/
Harvey Mudd College, https://www.linkedin.com/school/harvey-mudd-college/people/
